,c_noausentes_1er_anio,cursadas_ap_1er_anio,c_libres_1er_anio,cursadas_1er_anio,fracaso_academico
154,7,2,4,7,1
155,6,1,4,6,1
156,3,1,2,5,0
157,7,6,1,9,0
158,6,5,1,7,0
159,7,7,0,7,0
160,3,0,3,3,1
161,5,5,0,7,0
162,10,9,1,10,0
163,10,8,2,10,0
164,6,4,2,7,0
165,5,5,0,5,0
166,4,3,1,7,0
167,8,5,3,8,0
168,3,2,1,7,0
169,7,4,3,7,0
170,12,12,0,12,0
171,2,1,0,5,0
172,8,8,0,8,0
173,7,6,1,8,0
174,7,7,0,7,0
175,1,0,1,5,0
176,8,8,0,8,0
177,0,0,0,4,0
178,8,5,2,8,0
179,7,4,3,10,0
180,10,9,0,10,0
181,4,0,4,4,1
182,5,1,4,5,1
183,7,6,1,7,0
184,4,3,1,9,0
185,7,6,1,8,0
186,1,0,1,5,0
187,8,7,1,8,0
188,2,2,0,4,0
189,4,4,0,4,0
190,6,5,1,7,0
191,7,6,1,7,0
192,6,3,3,6,0
193,8,7,0,8,0
194,4,0,3,5,1
195,2,2,0,3,0
196,7,4,2,7,0
197,5,1,4,5,1
198,0,0,0,1,0
199,7,5,1,10,0
200,4,0,3,4,1
201,5,2,3,8,0
202,0,0,0,4,0
203,9,7,1,9,0
204,7,3,4,8,0
205,8,2,4,8,0
206,2,0,2,4,0
207,6,3,3,9,0
208,7,2,4,10,0
209,7,5,1,8,0
210,2,0,2,4,0
211,9,7,1,9,0
212,2,1,1,5,0
213,8,6,2,10,0
214,4,2,1,8,0
215,6,5,1,7,0
216,6,4,2,9,0
217,6,1,4,7,1
218,6,3,3,10,0
219,4,1,3,5,1
220,8,8,0,10,0
221,1,1,0,4,0
222,5,0,3,5,1
223,8,7,0,8,0
224,6,6,0,9,0
225,6,2,4,10,0
226,7,5,2,8,0
227,2,1,1,4,0
228,8,8,0,8,0
229,0,0,0,5,0
230,7,2,5,7,1
231,2,0,2,3,1
232,7,6,1,10,0
233,0,0,0,4,0
234,4,2,2,6,0
235,1,0,1,3,0
236,6,2,4,7,1
237,7,7,0,7,0
238,7,7,0,7,0
239,4,1,3,4,1
240,4,0,4,4,1
241,8,8,0,9,0
242,9,8,1,9,0
243,7,7,0,7,0
244,7,7,0,7,0
245,8,8,0,9,0
246,3,0,3,5,1
247,4,0,4,5,1
248,7,7,0,8,0
249,5,2,2,6,0
250,5,0,5,6,1
251,4,0,4,4,1
252,3,2,1,3,0
253,9,8,0,9,0
254,9,9,0,10,0
255,3,0,3,3,1
256,3,0,3,3,1
257,4,0,4,4,1
258,0,0,0,4,0
259,4,0,4,4,1
260,7,5,2,7,0
261,10,9,1,10,0
262,4,0,4,4,1
263,0,0,0,4,0
264,7,4,3,8,0
265,7,6,1,7,0
266,6,5,1,7,0
267,1,0,0,5,0
268,10,10,0,11,0
269,7,2,4,7,1
270,0,0,0,3,0
271,4,0,4,5,1
272,2,0,1,6,0
273,0,0,0,3,0
274,2,1,1,3,0
275,5,2,3,6,0
276,8,5,2,8,0
277,7,4,1,7,0
278,9,7,2,9,0
279,5,2,3,6,0
280,2,0,2,3,1
281,5,3,2,9,0
282,0,0,0,3,0
283,8,3,5,9,1
284,6,5,1,6,0
285,2,1,1,3,0
286,7,5,2,8,0
287,1,0,0,4,0
288,7,7,0,7,0
289,8,2,5,8,1
290,7,5,2,7,0
291,4,2,1,6,0
292,4,2,2,4,0
293,3,0,3,5,1
294,0,0,0,3,0
295,8,5,3,11,0
296,4,0,4,4,1
297,8,6,1,9,0
298,7,3,3,10,0
299,6,2,4,6,1
300,7,5,2,7,0
301,5,1,3,5,1
302,6,4,2,6,0
303,6,2,3,7,0
304,8,6,2,8,0
305,5,4,0,7,0
306,5,3,2,6,0
307,5,1,4,7,1
308,7,3,4,8,0
309,3,1,2,4,0
310,9,8,1,9,0
311,6,5,1,7,0
312,9,7,1,9,0
313,0,0,0,4,0
314,8,7,1,8,0
315,1,0,1,3,0
316,8,5,3,8,0
317,10,4,6,10,1
318,7,4,3,7,0
319,10,9,1,10,0
320,8,5,2,8,0
321,11,10,0,11,0
322,0,0,0,4,0
323,10,6,4,11,0
324,7,6,1,8,0
325,0,0,0,4,0
326,1,1,0,3,0
327,5,5,0,6,0
328,1,0,1,8,0
329,8,6,2,10,0
